Rank,Title,Theaters,Total Gross,Release Date,Distributor
142,Rally Road Racers,"1,228","$744,169 ",5/12/2023 0:00,Viva Pictures
143,It Ain't Over,128,"$705,355 ",5/12/2023 0:00,Sony Pictures Entertainment (SPE)
144,Devotion,"3,458","$20,511,938 ",11/23/2023 0:00,Columbia Pictures
145,Master Gardener,225,"$667,114 ",5/19/2023 0:00,Magnolia Pictures
146,Shortcomings,404,"$653,780 ",8/4/2023 0:00,Sony Pictures Classics
147,Corsage,317,"$705,767 ",12/23/2023 0:00,IFC Films
148,EO,80,"$1,068,782 ",11/18/2023 0:00,Sideshow Releasing
149,Shin Ultraman,"1,040","$601,490 ",1/11/2023 0:00,Fathom Events
150,The Thorn,834,"$577,004 ",3/6/2023 0:00,Fathom Events
151,The Way2023  Re-release,755,"$567,448 ",5/16/2023 0:00,Fathom Events
152,Of an Age,289,"$556,585 ",2/17/2023 0:00,Focus Features
153,Sweetwater,"1,204","$541,633 ",4/14/2023 0:00,Briarcliff Entertainment
154,Aftersun,97,"$1,658,790 ",10/21/2023 0:00,A24
155,Consecration,762,"$538,551 ",2/10/2023 0:00,IFC Films
156,Sanctuary,225,"$535,202 ",5/19/2023 0:00,-
157,Bottoms,10,"$533,978 ",8/25/2023 0:00,Orion Pictures
158,Triangle of Sadness,610,"$4,608,096 ",10/7/2023 0:00,Neon
159,"Crouching Tiger, Hidden Dragon2023 Re-release",475,"$451,549 ",2/17/2023 0:00,Sony Pictures Classics
160,A Father's Heart,741,"$447,912 ",5/1/2023 0:00,Fathom Events
161,The Son,554,"$449,650 ",1/20/2023 0:00,Sony Pictures Classics
162,The Essential Church,301,"$412,550 ",7/28/2023 0:00,Atlas Distribution Company
163,Mending the Line,403,"$379,890 ",6/9/2023 0:00,Blue Fox Entertainment
164,CatVideoFest 2023,37,"$327,584 ",8/4/2023 0:00,Oscilloscope
165,Go West,38,"$340,017 ",7/19/2023 0:00,Purdie Distribution
166,Terrifier,853,"$339,946 ",7/19/2023 0:00,'-
167,Selfiee,308,"$335,775 ",2/24/2023 0:00,'-
168,Turn Every Page: The Adventures of Robert Caro and Robert Gottlieb,34,"$335,417 ",12/30/2023 0:00,Sony Pictures Entertainment (SPE)
169,Wild Life,30,"$326,184 ",4/14/2023 0:00,Picturehouse
170,Children of the Corn,586,"$325,583 ",3/3/2023 0:00,'-
171,Waltair Veerayya,350,"$320,000 ",1/13/2023 0:00,'-
172,The Lesson,268,"$310,746 ",7/7/2023 0:00,'-
173,Psycho-Pass: Providence,419,"$309,757 ",7/14/2023 0:00,Crunchyroll
174,UFC 291: Poirier vs. Gaethje 2,347,"$308,825 ",7/29/2023 0:00,'-
175,Mirando Al Cielo,680,"$295,539 ",4/18/2023 0:00,Fathom Events
176,Joyland,38,"$302,550 ",4/7/2023 0:00,Oscilloscope
177,Passages,114,"$415,827 ",8/4/2023 0:00,MUBI
178,Southern Gospel,600,"$293,496 ",3/10/2023 0:00,'-
179,School of Magical Animals,301,"$288,414 ",3/24/2023 0:00,Blue Fox Entertainment
180,Dreamin' Wild,402,"$276,672 ",8/4/2023 0:00,Roadside Attractions
181,The Eight Mountains,51,"$302,456 ",4/28/2023 0:00,Variance Films
182,Every Body,255,"$273,860 ",6/30/2023 0:00,Focus Features
183,Empire of Light,436,"$1,177,577 ",12/9/2023 0:00,Searchlight Pictures
184,Born to Fly,74,"$277,011 ",4/28/2023 0:00,Well Go USA Entertainment
185,RRR Fan CelebRRRation2023 Re-release,283,"$256,566 ",3/3/2023 0:00,Variance Films
186,Malum,249,"$221,738 ",3/31/2023 0:00,'-
187,All the Beauty and the Bloodshed,48,"$500,082 ",11/23/2023 0:00,'-
188,Saint Omer,245,"$213,953 ",1/13/2023 0:00,Neon
189,Afire,44,"$204,620 ",7/14/2023 0:00,Sideshow Releasing
190,One Fine Morning,49,"$214,470 ",1/27/2023 0:00,Sony Pictures Entertainment (SPE)
